:START_ID,:END_ID,:TYPE
reference_crypt_YangZ11b,Sencun Zhu,WRITES
reference_crypt_Caddy11c,Tom Caddy,WRITES
reference_crypt_Biryukov05f,Alex Biryukov,WRITES
reference_crypt_Challener11,David Challener,WRITES
reference_crypt_VimercatiS11b,Sabrina De Capitani di Vimercati,WRITES
reference_crypt_VimercatiS11b,Pierangela Samarati,WRITES
reference_crypt_Schunter11,Matthias Schunter,WRITES
reference_crypt_FarleyJ05,Toni Farley,WRITES
reference_crypt_FarleyJ05,Jill Joseph,WRITES
reference_crypt_Bleumer11v,Gerrit Bleumer,WRITES
reference_crypt_Bleumer11h,Gerrit Bleumer,WRITES
reference_crypt_Canteaut05h,Anne Canteaut,WRITES
reference_crypt_Soete11c,Marijke De Soete,WRITES
reference_crypt_Bleumer05g,Gerrit Bleumer,WRITES
reference_crypt_Kaliski11ah,Burt Kaliski,WRITES
reference_crypt_LandrockC11,Peter Landrock,WRITES
reference_crypt_LandrockC11,Danny De Cock,WRITES
reference_crypt_Sako05f,Kazue Sako,WRITES
reference_crypt_Boneh05e,Dan Boneh,WRITES
reference_crypt_Landrock05x,Peter Landrock,WRITES
reference_crypt_Gu11a,Qijun Gu,WRITES
reference_crypt_GaboritS11,Philippe Gaborit,WRITES
reference_crypt_GaboritS11,Nicolas Sendrier,WRITES
reference_crypt_HankersonM05f,Darrel Hankerson,WRITES
reference_crypt_HankersonM05f,Alfred Menezes,WRITES
reference_crypt_Biryukov11i,Alex Biryukov,WRITES
reference_crypt_Meadows11c,Catherine A. Meadows,WRITES
reference_crypt_TohT11,Kar-Ann Toh,WRITES
reference_crypt_TohT11,Andrew Beng Jin Teoh,WRITES
reference_crypt_Biryukov05n,Alex Biryukov,WRITES
reference_crypt_Adams11,Carlisle Adams,WRITES
reference_crypt_HankersonM11j,Darrel Hankerson,WRITES
reference_crypt_HankersonM11j,Alfred Menezes,WRITES
reference_crypt_Biryukov05z,Alex Biryukov,WRITES
reference_crypt_Kurosawa11,Kaoru Kurosawa,WRITES
reference_crypt_Provos11,Niels Provos,WRITES
reference_crypt_HankersonM11h,Darrel Hankerson,WRITES
reference_crypt_HankersonM11h,Alfred Menezes,WRITES
reference_crypt_Bleumer05k,Gerrit Bleumer,WRITES
reference_crypt_Naccache11n,David Naccache,WRITES
reference_crypt_Helleseth05c,Tor Helleseth,WRITES
reference_crypt_Ioannidis11a,John Ioannidis,WRITES
reference_crypt_Kumar11,B. V. K. Vijaya Kumar,WRITES
reference_crypt_Challener11b,David Challener,WRITES
reference_crypt_Adams05a,Carlisle Adams,WRITES
